state,link
Madison,https://www.hotelchains.com/usa/madison/
Anchorage,https://www.hotelchains.com/usa/anchorage/
Santa Barbara,https://www.hotelchains.com/usa/santa-barbara/
Fort Myers,https://www.hotelchains.com/usa/fort-myers/
Seaside,https://www.hotelchains.com/usa/seaside/
Arlington,https://www.hotelchains.com/usa/arlington/
Lubbock,https://www.hotelchains.com/usa/lubbock/
Ludlow,https://www.hotelchains.com/usa/ludlow-2/
Carlsbad,https://www.hotelchains.com/usa/carlsbad/
Durham,https://www.hotelchains.com/usa/durham/
Pensacola,https://www.hotelchains.com/usa/pensacola/
Amarillo,https://www.hotelchains.com/usa/amarillo/
Moab,https://www.hotelchains.com/usa/moab/
Winter Park,https://www.hotelchains.com/usa/winter-park/
Waikoloa,https://www.hotelchains.com/usa/waikoloa/
Saint Louis,https://www.hotelchains.com/usa/saint-louis/
Milwaukee,https://www.hotelchains.com/usa/milwaukee/
Tempe,https://www.hotelchains.com/usa/tempe/
Traverse City,https://www.hotelchains.com/usa/traverse-city/
Wilmington,https://www.hotelchains.com/usa/wilmington/
Little Rock,https://www.hotelchains.com/usa/little-rock/
Tallahassee,https://www.hotelchains.com/usa/tallahassee/
Grand Rapids,https://www.hotelchains.com/usa/grand-rapids/
Plano,https://www.hotelchains.com/usa/plano/
Big Sky,https://www.hotelchains.com/usa/big-sky/
St Petersburg,https://www.hotelchains.com/usa/st-petersburg/
Angel Fire,https://www.hotelchains.com/usa/angel-fire/
Huntsville,https://www.hotelchains.com/usa/huntsville/
Sedona,https://www.hotelchains.com/usa/sedona/
Eureka Springs,https://www.hotelchains.com/usa/eureka-springs/
Lincoln,https://www.hotelchains.com/usa/lincoln-2/
Fargo,https://www.hotelchains.com/usa/fargo/
Sioux Falls,https://www.hotelchains.com/usa/sioux-falls/
St. George,https://www.hotelchains.com/usa/st-george/
Flagstaff,https://www.hotelchains.com/usa/flagstaff/
Bakersfield,https://www.hotelchains.com/usa/bakersfield/
Napa,https://www.hotelchains.com/usa/napa/
Dillon,https://www.hotelchains.com/usa/dillon/
Kahana,https://www.hotelchains.com/usa/kahana/
Lahaina,https://www.hotelchains.com/usa/lahaina/
Bloomington,https://www.hotelchains.com/usa/bloomington/
Harrisburg,https://www.hotelchains.com/usa/harrisburg/
Macon,https://www.hotelchains.com/usa/macon/
Oceanside,https://www.hotelchains.com/usa/oceanside/
South Lake Tahoe,https://www.hotelchains.com/usa/south-lake-tahoe/
Columbus,https://www.hotelchains.com/usa/columbus-2/
